PersonRegistrationAddressRegion,CreditHistoryLast2MonthCreditsCount,CreditHistoryActiveCreditsOverdueCount,CreditHistoryTotalPastDueAmount,CreditHistoryActiveCreditsOneMonthOverdueCount,CreditHistoryActiveCreditsTwoMonthsOverdueCount,CreditHistoryActiveCreditsMoreThreeMonthsOverdueCount,FsspActiveCreditDebtAmount,FsspActiveDebtAmount,loan_approve
44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,1.0,47539.03,0.0,0.0,1.0,0.0,0.0,1.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,4023.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,3.0,42.0,46067.0,34.0,3.0,5.0,0.0,0.0,0.0
1.0,2.0,2.0,48630.0,1.0,0.0,1.0,0.0,0.0,0.0
25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,3224.0,0.0,0.0,0.0,0.0,23525.26,0.0
2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,7.0,168722.0,0.0,0.0,7.0,0.0,5000.0,0.0
50.0,0.0,1.0,105404.0,0.0,0.0,1.0,0.0,111567.25,0.0
70.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,3.0,10672.0,0.0,0.0,3.0,0.0,0.0,0.0
63.0,13.0,1.0,11920.0,0.0,1.0,0.0,0.0,1500.0,0.0
63.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,39654.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,6.0,82881.0,3.0,0.0,3.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,3.0,80404.0,3.0,0.0,0.0,0.0,61298.35,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,5.0,2.0,57479.0,2.0,0.0,0.0,0.0,0.0,0.0
54.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,4.0,0.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,7.0,15.0,153827.0,11.0,0.0,4.0,0.0,0.0,0.0
18.0,4.0,3.0,60845.0,3.0,0.0,0.0,0.0,0.0,0.0
63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
29.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
16.0,27.0,0.0,50205.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,10700.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
77.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,1.0,82223.02,0.0,0.0,1.0,0.0,0.0,0.0
61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59.0,1.0,5.0,182578.0,2.0,0.0,3.0,0.0,0.0,0.0
26.0,0.0,7.0,91479.0,3.0,0.0,4.0,0.0,18860.0,0.0
73.0,0.0,3.0,151321.0,1.0,0.0,2.0,46457.12,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,11.0,10.0,93163.0,10.0,0.0,0.0,0.0,0.0,0.0
29.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,2.0,17009.73,1.0,0.0,1.0,0.0,5240.4,1.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,334782.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,29.0,0.0,39513.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0
78.0,4.0,0.0,11146.12,0.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,23.0,191870.0,7.0,7.0,9.0,0.0,25588.52,0.0
16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7343.56,0.0
21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2271.47,0.0
22.0,0.0,1.0,3342.0,0.0,1.0,0.0,196721.98,128022.99,0.0
50.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33.0,21.0,1.0,5676.0,0.0,0.0,1.0,0.0,0.0,0.0
56.0,24.0,0.0,20000.0,0.0,0.0,0.0,0.0,33100.87,0.0
